run,experiment,data_kind,n,mode,trial,case_id,queries,median_ms,p95_ms,p99_ms,accept_median_ms,accept_cpu_mean_ms,rss_after_MiB,rss_before_MiB,ru_maxrss_MiB_DO_NOT_USE_AS_PHASE_PEAK,memory_limit_MiB,pressure_buffer_MiB,accepted,mean_json_body_bytes,selected_payload_sha256,timing_scope
HPC,local,ethereum_rpc_finalized_json,69,ext_rebuild,2,0072-ethereum_rpc_finalized_json-n69-ext_rebuild-t2-local,200,3.587471,7.13120985,7.1539516999999995,3.5867050000000003,3.820044925,24.609375,21.7265625,142.46875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_rebuild,3,0058-ethereum_rpc_finalized_json-n69-ext_rebuild-t3-local,200,3.6457755,7.37454635,7.45418437,3.64485,3.85260287,24.8203125,21.70703125,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,ext_rebuild,4,0024-ethereum_rpc_finalized_json-n69-ext_rebuild-t4-local,200,3.5742165000000004,7.5172382,7.574458869999999,3.573526,3.846173685,26.9453125,21.76953125,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,full,0,0029-ethereum_rpc_finalized_json-n69-full-t0-local,200,3.5879045,7.4669758999999996,7.558923920000001,3.5871310000000003,3.735715165,24.5546875,21.40625,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,full,1,0066-ethereum_rpc_finalized_json-n69-full-t1-local,200,3.239184,6.66660895,6.72793378,3.238378,3.549091395,24.90234375,21.44140625,142.46875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,full,2,0038-ethereum_rpc_finalized_json-n69-full-t2-local,200,3.569817,7.092541,7.17240127,3.5691135000000003,3.826161125,24.69140625,21.69140625,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,full,3,0002-ethereum_rpc_finalized_json-n69-full-t3-local,200,3.6022800000000004,7.4735318,7.52840815,3.601509,3.84503965,24.625,21.47265625,137.66796875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,full,4,0009-ethereum_rpc_finalized_json-n69-full-t4-local,200,3.546372,7.551896999999999,7.670171379999999,3.5457575,3.840229465,26.9140625,21.68359375,138.73046875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,leaf,0,0060-ethereum_rpc_finalized_json-n69-leaf-t0-local,200,3.734633,7.122908649999999,7.30806963,3.733827,3.85727113,24.5859375,21.65234375,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,leaf,1,0010-ethereum_rpc_finalized_json-n69-leaf-t1-local,200,3.412914,7.05294485,7.1721993,3.412153,3.7320053,24.4921875,21.4765625,138.73046875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
