run,transition,fault,replicates_at_this_fault,recovery_ms,status,case_wall_ms,expected_active_mode,actual_active_mode,child_exit_code,journals_found,temporary_metadata_files,unreferenced_target_objects_cleaned,pre_audit_positions,post_audit_positions
Pi_WiFi,ext->full,crash_after_metadata_swap,1,9.01778,PASS,535.051842,full,full,87,1,0,0,512,512
HPC,full->leaf,crash_after_root_verify,1,6.396425,PASS,1655.57321,full,full,81,0,0,0,512,512
HPC,full->leaf,crash_after_target_create,1,7.486996,PASS,1627.662217,full,full,82,0,0,1,512,512
HPC,full->leaf,crash_before_metadata_swap,1,8.171677,PASS,1646.681832,full,full,83,1,0,1,512,512
HPC,full->leaf,crash_during_metadata_write,1,10.732469,PASS,1653.921022,full,full,86,1,1,1,512,512
HPC,full->leaf,crash_after_metadata_swap,1,8.052473,PASS,1705.030133,leaf,leaf,87,1,0,0,512,512
HPC,leaf->full,crash_after_root_verify,1,6.414517,PASS,1744.298482,leaf,leaf,81,0,0,0,512,512
HPC,leaf->full,crash_after_target_create,1,7.870749,PASS,1744.586055,leaf,leaf,82,0,0,1,512,512
HPC,leaf->full,crash_before_metadata_swap,1,10.11819,PASS,1795.203924,leaf,leaf,83,1,0,1,512,512
HPC,leaf->full,crash_during_metadata_write,1,10.414295,PASS,6775.564304,leaf,leaf,86,1,1,1,512,512
HPC,leaf->full,crash_after_metadata_swap,1,14.781207,PASS,2996.728206,full,full,87,1,0,0,512,512
HPC,full->ext,crash_after_root_verify,1,7.034132,PASS,1645.813662,full,full,81,0,0,0,512,512
HPC,full->ext,crash_after_target_create,1,7.576213,PASS,1647.485872,full,full,82,0,0,1,512,512
HPC,full->ext,crash_before_metadata_swap,1,8.682398,PASS,1610.87172,full,full,83,1,0,1,512,512
HPC,full->ext,crash_during_metadata_write,1,10.396102,PASS,1626.856373,full,full,86,1,1,1,512,512
HPC,full->ext,crash_after_metadata_swap,1,9.61172,PASS,1657.24228,ext,ext,87,1,0,0,512,512
HPC,leaf->ext,crash_after_root_verify,1,6.570242,PASS,1774.455468,leaf,leaf,81,0,0,0,512,512
HPC,leaf->ext,crash_after_target_create,1,7.541834,PASS,1794.989571,leaf,leaf,82,0,0,1,512,512
HPC,leaf->ext,crash_before_metadata_swap,1,8.154789,PASS,1794.63257,leaf,leaf,83,1,0,1,512,512
HPC,leaf->ext,crash_during_metadata_write,1,10.833217,PASS,7260.488496,leaf,leaf,86,1,1,1,512,512
HPC,leaf->ext,crash_after_metadata_swap,1,9.617603,PASS,1754.177597,ext,ext,87,1,0,0,512,512
HPC,ext->leaf,crash_after_root_verify,1,8.036872,PASS,2326.084119,ext,ext,81,0,0,0,512,512
HPC,ext->leaf,crash_after_target_create,1,9.10512,PASS,2352.921783,ext,ext,82,0,0,1,512,512
HPC,ext->leaf,crash_before_metadata_swap,1,9.81652,PASS,2360.8024,ext,ext,83,1,0,1,512,512
HPC,ext->leaf,crash_during_metadata_write,1,11.949945,PASS,2372.06464,ext,ext,86,1,1,1,512,512
HPC,ext->leaf,crash_after_metadata_swap,1,10.251111,PASS,2531.709193,leaf,leaf,87,1,0,0,512,512
HPC,ext->full,crash_after_root_verify,1,8.52549,PASS,2421.94385,ext,ext,81,0,0,0,512,512
HPC,ext->full,crash_after_target_create,1,8.978029,PASS,2407.01717,ext,ext,82,0,0,1,512,512
HPC,ext->full,crash_before_metadata_swap,1,9.908199,PASS,2382.643036,ext,ext,83,1,0,1,512,512
HPC,ext->full,crash_during_metadata_write,1,11.683153,PASS,2335.389511,ext,ext,86,1,1,1,512,512
HPC,ext->full,crash_after_metadata_swap,1,8.09058,PASS,2307.646747,full,full,87,1,0,0,512,512
