run,data_kind,n,mode,source,trials,median_ms_median,median_ms_min,median_ms_max,median_ms_count,median_ms_missing,p95_ms_median,p95_ms_min,p95_ms_max,p95_ms_count,p95_ms_missing,payload_read_bytes_per_query_median,payload_read_bytes_per_query_min,payload_read_bytes_per_query_max,payload_read_bytes_per_query_count,payload_read_bytes_per_query_missing,provider_cpu_ms_per_query_median,provider_cpu_ms_per_query_min,provider_cpu_ms_per_query_max,provider_cpu_ms_per_query_count,provider_cpu_ms_per_query_missing,queries_median,queries_min,queries_max,queries_count,queries_missing,rss_bytes_median,rss_bytes_min,rss_bytes_max,rss_bytes_count,rss_bytes_missing,support_read_bytes_per_query_median,support_read_bytes_per_query_min,support_read_bytes_per_query_max,support_read_bytes_per_query_count,support_read_bytes_per_query_missing,witness_generate_median_ms_median,witness_generate_median_ms_min,witness_generate_median_ms_max,witness_generate_median_ms_count,witness_generate_median_ms_missing
Pi_WiFi,ethereum_rpc_finalized_json,69,full,warm_network_queries,5,8.168247999999998,7.975379500000001,8.883812500000001,5,0,16.988764299999993,14.931123799999998,20.697002849999993,5,0,485743.41,453715.63,488224.11,5,0,9.245657345000001,9.226412895,10.194877539999998,5,0,200,200,200,5,0,137592832,136519680,138809344,5,0,224.0,224.0,224.0,5,0,0.594576,0.5763434999999999,0.6233715,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,leaf,proof_fixture_preparation,5,8.7588135,7.9945085,9.630664,5,0,16.054545,15.11916425,18.958237500000003,5,0,482519.75,453988.0,485041.375,5,0,9.5968495,9.073237125,10.088584375,5,0,16,16,16,5,0,138809344,136654848,138809344,5,0,4096.0,4096.0,4096.0,5,0,0.636019,0.5863815,0.640269,5,0
Pi_WiFi,ethereum_rpc_finalized_json,69,leaf,warm_network_queries,5,8.5560935,7.696263,10.5569185,5,0,17.208492299999996,15.808151449999997,21.609184749999997,5,0,485743.41,453715.63,488224.11,5,0,9.713098,8.806326664999998,11.687703164999999,5,0,200,200,200,5,0,138809344,136654848,138809344,5,0,4096.0,4096.0,4096.0,5,0,0.6139725,0.603603,0.672972,5,0
Pi_WiFi,synthetic,512,archive,proof_fixture_preparation,5,1.257193,1.2391,1.2641005,5,0,1.321828,1.28755875,1.3529832499999999,5,0,2084.0,2084.0,2084.0,5,0,1.2505173125,1.2431133125,1.264029125,5,0,16,16,16,5,0,,,,0,5,288.0,288.0,288.0,5,0,0.34351299999999996,0.3407535,0.347171,5,0
Pi_WiFi,synthetic,512,ext_cached,proof_fixture_preparation,5,1.4070455,1.3924515,2.674639,5,0,1.4533209999999999,1.436739,3.8919135,5,0,2084.0,2084.0,2084.0,5,0,1.4009989375,1.3979073125,2.979921375,5,0,16,16,16,5,0,137592832,136654848,138809344,5,0,288.0,288.0,288.0,5,0,0.435457,0.4326875,0.8370715,5,0
Pi_WiFi,synthetic,512,ext_cached,warm_network_queries,5,2.4223645,2.3849915,2.5750105000000003,5,0,2.89273275,2.6814380499999997,2.9560915999999997,5,0,2084.0,2084.0,2084.0,5,0,2.501423915,2.46386979,2.5700622799999997,5,0,200,200,200,5,0,137592832,136654848,138809344,5,0,288.0,288.0,288.0,5,0,0.796239,0.7486094999999999,0.819637,5,0
Pi_WiFi,synthetic,512,ext_rebuild,proof_fixture_preparation,5,77.395361,77.1560495,77.727498,5,0,78.05731425,77.6810145,79.36165224999999,5,0,1067008.0,1067008.0,1067008.0,5,0,77.45620225,77.231643,77.7843663125,5,0,16,16,16,5,0,137592832,137592832,137768960,5,0,0.0,0.0,0.0,5,0,19.325114499999998,19.2454835,19.399516,5,0
Pi_WiFi,synthetic,512,ext_rebuild,warm_network_queries,5,77.42276799999999,77.26418100000001,77.6864435,5,0,78.65903329999999,78.3707886,79.2811502,5,0,1067008.0,1067008.0,1067008.0,5,0,77.917898605,77.666700175,78.072303975,5,0,200,200,200,5,0,137592832,137592832,137768960,5,0,0.0,0.0,0.0,5,0,19.2317075,19.212893,19.273159,5,0
Pi_WiFi,synthetic,512,full,proof_fixture_preparation,5,1.4342579999999998,1.4099469999999998,2.871134,5,0,1.4988635000000001,1.44649775,3.8284107499999998,5,0,2084.0,2084.0,2084.0,5,0,1.428071625,1.4013435625,2.9215911875,5,0,16,16,16,5,0,137768960,135933952,138809344,5,0,288.0,288.0,288.0,5,0,0.44359550000000003,0.4348005,0.911598,5,0
Pi_WiFi,synthetic,512,full,warm_network_queries,5,2.5419929999999997,2.4266415,2.5684365,5,0,2.6682805,2.6424075499999997,2.6935008999999996,5,0,2084.0,2084.0,2084.0,5,0,2.5027328349999998,2.49638997,2.52646407,5,0,200,200,200,5,0,137768960,135933952,138809344,5,0,288.0,288.0,288.0,5,0,0.808914,0.8005075,0.816183,5,0
